year,10-year_global_MA,10-year_milan_MA
1759,8.030001,6.3580003
1760,7.8770003,6.322
1761,7.956,6.2440004
1762,8.239,6.6480002
1763,8.15,6.613
1764,8.143,6.653
1765,8.132,6.699
1766,8.088,6.692
1767,8.008,6.6769996
1768,8.011999,6.7030005
1769,7.982,6.6559997
1770,8.032001,6.597
1771,7.94,6.5769997
1772,7.898,6.7210007
1773,7.97,6.7380004
1774,8.006999,6.7020006
1775,8.1,6.747
1776,8.089,6.755
1777,8.093,6.7730002
1778,8.269,6.866
1779,8.398,6.954
1780,8.572,7.006999
1781,8.597,7.0850005
1782,8.568001,6.8829994
1783,8.514001,6.9449997
1784,8.423,6.914
1785,8.241,6.822
1786,8.237,6.794
1787,8.214001,6.866
1788,8.205,6.8739996
1789,8.14,6.747
1790,7.9950004,6.753
1791,8.008,6.7260003
1792,8.027,6.8059998
1793,8.081999,6.787
1794,8.148999,6.918
1795,8.247999,6.9449997
1796,8.249001,6.9900002
1797,8.296999,7.003
1798,8.318999,6.967
1799,8.337,6.9040003
1800,8.386999,6.9060006
1801,8.422999,6.8970003
1802,8.472,6.9590006
1803,8.499001,6.9130006
1804,8.530001,6.864
1805,8.551,6.760999
1806,8.566999,6.8019996
1807,8.544001,6.7790003
1808,8.440001,6.6480002
1809,8.297,6.7190003
1810,8.141001,6.6610003
1811,7.968,6.6990004
1812,7.815,6.4880004
1813,7.739,6.453
1814,7.614,6.302
1815,7.482,6.3970003
1816,7.333,6.1970005
1817,7.2030005,6.153
1818,7.2230005,6.291
1819,7.2520003,6.355
1820,7.322,6.3320003
1821,7.4449997,6.238
1822,7.5589995,6.497
1823,7.557,6.5010004
1824,7.653,6.6410003
1825,7.768,6.7240005
1826,7.91,6.882001
1827,8.092999,6.8849998
1828,8.127,6.933
1829,8.184,6.7769995
1830,8.274,6.7799997
1831,8.229001,6.7979994
1832,8.155,6.6480002
1833,8.184,6.6939993
1834,8.144,6.7560005
1835,8.044001,6.646001
1836,7.9779997,6.583
